Old Link,New Link
/document/MiFID-II-Del-Reg/1/1/element/article_10_1__point_a,/document/MiFID-II-Del-Reg/annotation/645
/document/MiFID-II-Del-Reg/1/1/element/article_10_1__point_b,/document/MiFID-II-Del-Reg/annotation/1017
/document/MiFID-II-Del-Reg/1/1/element/article_10_1__point_b_i,/document/MiFID-II-Del-Reg/annotation/725
/document/MiFID-II-Del-Reg/1/1/element/article_10_1__point_b_ii,/document/MiFID-II-Del-Reg/annotation/696
/document/MiFID-II-Del-Reg/1/1/element/article_10_1__point_b_iii,/document/MiFID-II-Del-Reg/annotation/642
/document/MiFID-II-Del-Reg/1/1/element/article_10_1__point_b_iv,/document/MiFID-II-Del-Reg/annotation/724
/document/MiFID-II-Del-Reg/1/1/element/article_10_2,/document/MiFID-II-Del-Reg/annotation/721
/document/MiFID-II-Del-Reg/1/1/element/article_10_2__point_a,/document/MiFID-II-Del-Reg/annotation/646
/document/MiFID-II-Del-Reg/1/1/element/article_10_2__point_b,/document/MiFID-II-Del-Reg/annotation/722
/document/MiFID-II-Del-Reg/1/1/element/article_10_2__point_c,/document/MiFID-II-Del-Reg/annotation/683
/document/MiFID-II-Del-Reg/1/1/element/article_6_3,/document/MiFID-II-Del-Reg/annotation/704
/document/MiFID-II-Del-Reg/1/1/element/article_7_1,/document/MiFID-II-Del-Reg/annotation/720
/document/MiFID-II-Del-Reg/1/1/element/article_7_1__point_a,/document/MiFID-II-Del-Reg/annotation/665
/document/MiFID-II-Del-Reg/1/1/element/article_7_2,/document/MiFID-II-Del-Reg/annotation/667
/document/MiFID-II-Del-Reg/1/1/element/article_7_3,/document/MiFID-II-Del-Reg/annotation/635
/document/MiFID-II-Del-Reg/1/1/element/article_7_4,/document/MiFID-II-Del-Reg/annotation/1018
/document/MiFID-II-Del-Reg/1/1/element/preamble__point_13,/document/MiFID-II-Del-Reg/annotation/2314
/document/MiFID-II/1/1/element/annex_1__section_C,/document/MiFID-II/annotation/1000
/document/MiFID-II/1/1/element/annex_1__section_C__point_1,/document/MiFID-II/annotation/478
/document/MiFID-II/1/1/element/annex_1__section_C__point_10,/document/MiFID-II/annotation/999
/document/MiFID-II/1/1/element/annex_1__section_C__point_11,/document/MiFID-II/annotation/468
/document/MiFID-II/1/1/element/annex_1__section_C__point_2,/document/MiFID-II/annotation/628
/document/MiFID-II/1/1/element/annex_1__section_C__point_3,/document/MiFID-II/annotation/517
/document/MiFID-II/1/1/element/annex_1__section_C__point_4,/document/MiFID-II/annotation/993
/document/MiFID-II/1/1/element/annex_1__section_C__point_5,/document/MiFID-II/annotation/994
/document/MiFID-II/1/1/element/annex_1__section_C__point_6,/document/MiFID-II/annotation/995
/document/MiFID-II/1/1/element/annex_1__section_C__point_7,/document/MiFID-II/annotation/996
/document/MiFID-II/1/1/element/annex_1__section_C__point_8,/document/MiFID-II/annotation/997
/document/MiFID-II/1/1/element/annex_1__section_C__point_9,/document/MiFID-II/annotation/998
/document/MiFID-II/1/1/element/article_2_1,/document/MiFID-II/annotation/581
/document/MiFIR/1/1/element/article_18_1,/document/MiFIR/annotation/139
/document/MiFIR/1/1/element/article_26_1,/document/MiFIR/annotation/237
/document/MiFIR/1/1/element/article_26_2,/document/MiFIR/annotation/240
/document/MiFIR/1/1/element/article_26_2__point_a,/document/MiFIR/annotation/249
/document/MiFIR/1/1/element/article_26_5,/document/MiFIR/annotation/265
/document/MiFIR/1/1/element/article_26_7,/document/MiFIR/annotation/278
/document/MiFIR/1/1/element/article_55,/document/MiFIR/annotation/267
/document/RTS-22/1/1/element/article_14_1,/document/RTS-22/annotation/252
/document/RTS-22/1/1/element/article_14_5,/document/RTS-22/annotation/274
/document/RTS-22/1/1/element/article_2,/document/RTS-22/annotation/243
/document/RTS-22/1/1/element/article_2_5,/document/RTS-22/annotation/383
/document/RTS-22/1/1/element/article_2_5__point_a,/document/RTS-22/annotation/349
/document/RTS-22/1/1/element/article_2_5__point_i,/document/RTS-22/annotation/366
/document/RTS-22/1/1/element/article_3_1,/document/RTS-22/annotation/273
/document/RTS-22/1/1/element/article_4_1,/document/RTS-22/annotation/281
/document/RTS-22/1/1/element/article_4_1__point_a,/document/RTS-22/annotation/250
/document/RTS-22/1/1/element/article_4_1__point_b,/document/RTS-22/annotation/286
/document/RTS-22/1/1/element/article_4_1__point_c,/document/RTS-22/annotation/256